movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole,length(um)
CDCssbGFPmcherry01_102,3,-3,1,160,506.33334,451.66666,160,524.6667,474.66666,160,512.6667,462.66666,160,524.6667,474.66666,160,2,0,0,29.41278785,3.146364044
CDCssbGFPmcherry01_102,3,-3,1,163,507.33334,452.33334,163,528.6667,473,163,513,463.33334,163,528.6667,473,163,2,0,0,29.70224039,3.177327551
CDCssbGFPmcherry01_102,3,-3,1,166,507.33334,452.66666,166,531,472.66666,166,511.33334,459.66666,166,531,472.66666,166,2,0,0,30.98565467,3.314617786
CDCssbGFPmcherry01_102,3,-3,1,169,508.33334,453.66666,169,532.3333,475,169,516.3333,466,169,528.3333,473.33334,169,2,0,0,32.11089341,3.434987563
CDCssbGFPmcherry01_102,3,-3,1,172,505.66666,453.66666,172,531.6667,474,172,515,466,172,529,473.33334,172,2,0,0,33.00676894,3.530821748
CDCssbGFPmcherry01_102,3,-3,1,175,504,454,175,530,472.33334,175,530,472.33334,175,530,472.33334,175,2,0,0,31.81369761,3.403195738
CDCssbGFPmcherry01_102,3,-3,1,178,497,459,178,526.3333,475,178,523,473.33334,178,526.3333,475,178,2,0,0,33.4132083,3.574299646
CDCssbGFPmcherry01_102,3,-3,1,181,509,452,181,535,478,181,520.3333,468.33334,181,531,475.66666,181,2,0,0,36.76955262,3.933336713
CDCssbGFPmcherry01_102,3,-3,1,184,509.33334,452.66666,184,535.6667,478.33334,184,535.6667,478.33334,184,535.6667,478.33334,184,2,0,0,36.77260272,3.93366299
CDCssbGFPmcherry01_102,3,-3,1,187,516.6667,451.33334,187,539.6667,481.33334,187,525.6667,472,187,539.6667,481.33334,187,2,0,0,37.80211634,4.043792797
CDCssbGFPmcherry01_102,3,-3,1,190,512.6667,452,190,535.3333,481.33334,190,518.3333,465.66666,190,535.3333,481.33334,190,2,0,0,37.07046791,3.965526421
CDCssbGFPmcherry01_102,3,-3,1,193,519,450.66666,193,539.6667,484,193,537.3333,481.66666,193,539.6667,484,193,2,0,0,39.22019944,4.195488913
CDCssbGFPmcherry01_102,4,-4,0,34,553.3333,547.3333,34,555,526.3333,34,555,526.3333,34,555,526.3333,34,0,0,0,21.06603638,2.253489868
CDCssbGFPmcherry01_102,4,-4,0,37,559.6667,545,37,553.3333,525,37,553.3333,525,37,553.3333,525,37,0,0,0,20.97884543,2.244162821
CDCssbGFPmcherry01_102,4,-4,0,40,561,550,40,550,529,40,550,529,40,550,529,40,0,0,0,23.70653918,2.535951467
CDCssbGFPmcherry01_102,4,-4,0,43,559,550.6667,43,549.6667,529.6667,43,556,538.3333,43,549.6667,529.6667,43,0,0,0,22.98065467,2.458301672
CDCssbGFPmcherry01_102,4,-4,0,46,566.6667,549.6667,46,549.3333,528.6667,46,559.6667,539.3333,46,549.3333,528.6667,46,0,0,0,27.22951993,2.912814075
CDCssbGFPmcherry01_102,4,-4,0,49,568,550.6667,49,546,526.3333,49,560.3333,540.3333,49,546,526.3333,49,0,0,0,32.80418198,3.509150483
CDCssbGFPmcherry01_102,4,-4,0,52,569.6667,552.6667,52,546,527.3333,52,564.3333,545,52,557.3333,537.3333,52,0,0,0,34.66834066,3.708564488
CDCssbGFPmcherry01_102,4,-4,0,55,567.3333,556.3333,55,542.3333,532.6667,55,557.6667,544.3333,55,542.3333,532.6667,55,0,0,0,34.42539696,3.682576155
CDCssbGFPmcherry01_102,4,-4,0,58,570,555,58,539,532.6667,58,551.6667,541,58,539,532.6667,58,0,0,0,38.20701884,4.087106293
CDCssbGFPmcherry01_102,4,-4,0,61,568,554,61,536.6667,532.6667,61,536.6667,532.6667,61,536.6667,532.6667,61,0,0,0,37.90627096,4.054934493
CDCssbGFPmcherry01_102,4,-4,0,64,570.6667,557.6667,64,535.3333,531.6667,64,535.3333,531.6667,64,535.3333,531.6667,64,0,0,0,43.86854403,4.692734681
CDCssbGFPmcherry01_102,4,-4,0,67,567.6667,555,67,532.6667,533.3333,67,532.6667,533.3333,67,532.6667,533.3333,67,0,0,0,41.16364766,4.403384731
CDCssbGFPmcherry01_102,4,-4,0,70,554.3333,499,70,519,474.66666,70,519,474.66666,70,519,474.66666,70,0,0,0,42.90167275,4.589305892
CDCssbGFPmcherry01_102,4,-4,0,73,556.6667,498.66666,73,517.3333,478.33334,73,517.3333,478.33334,73,517.3333,478.33334,73,0,0,0,44.27821426,4.736558193
CDCssbGFPmcherry01_102,5,-5,0,34,560.3333,548.3333,34,562.3333,530.3333,34,562.3333,530.3333,34,562.3333,530.3333,34,0,6,0,18.11077028,1.937357204
CDCssbGFPmcherry01_102,5,-5,0,37,567.3333,545,37,561.3333,526,37,561.3333,526,37,561.3333,526,37,0,6,0,19.92485885,2.131415077
CDCssbGFPmcherry01_102,5,-5,0,40,568,549.3333,40,559,531,40,559,531,40,559,531,40,0,6,0,20.42326832,2.184731261
CDCssbGFPmcherry01_102,5,-5,0,43,565.6667,550.3333,43,557.6667,529.3333,43,557.6667,529.3333,43,557.6667,529.3333,43,0,6,0,22.47220505,2.403911466
CDCssbGFPmcherry01_102,5,-5,0,46,572,549.6667,46,558.6667,530,46,558.6667,530,46,558.6667,530,46,0,6,0,23.76038673,2.541711682
CDCssbGFPmcherry01_102,5,-5,0,49,572,550.3333,49,558.6667,529.3333,49,558.6667,529.3333,49,558.6667,529.3333,49,0,6,0,24.87522641,2.660969044
CDCssbGFPmcherry01_102,5,-5,0,52,572.3333,551.6667,52,559.3333,531.3333,52,566.3333,543.3333,52,559.3333,531.3333,52,0,6,0,24.13394198,2.581671879
CDCssbGFPmcherry01_102,5,-5,0,55,570.3333,553.6667,55,553.3333,534.3333,55,565.6667,546.6667,55,553.3333,534.3333,55,0,6,0,25.74452088,2.753959782
CDCssbGFPmcherry01_102,5,-5,0,58,573.6667,550.6667,58,551.3333,534,58,565.3333,543.6667,58,551.3333,534,58,0,6,0,27.86681978,2.980987733
CDCssbGFPmcherry01_102,5,-5,0,61,573.3333,551,61,550,534.3333,61,560,542,61,550,534.3333,61,0,6,0,28.67440981,3.067377784
CDCssbGFPmcherry01_102,5,-5,0,64,573.6667,553,64,549,533,64,558,539.3333,64,549,533,64,0,6,0,31.7560402,3.397027972
CDCssbGFPmcherry01_102,5,-5,0,67,573.3333,550,67,546.3333,532.6667,67,546.3333,532.6667,67,546.3333,532.6667,67,0,6,0,32.08493866,3.432211114
CDCssbGFPmcherry01_102,5,-5,0,70,561.6667,497,70,531,471.33334,70,531,471.33334,70,531,471.33334,70,0,6,0,39.99029788,4.277868388
CDCssbGFPmcherry01_102,5,-5,0,73,562.6667,495,73,528.3333,475.33334,73,528.3333,475.33334,73,528.3333,475.33334,73,0,6,0,39.56715647,4.232603828
CDCssbGFPmcherry01_102,5,-5,0,76,558.6667,492.66666,76,523.6667,478,76,523.6667,478,76,523.6667,478,76,0,6,0,37.94879333,4.059483224
CDCssbGFPmcherry01_102,5,-5,0,79,561.3333,495,79,525.3333,484.66666,79,525.3333,484.66666,79,525.3333,484.66666,79,0,6,0,37.45367693,4.006519308
CDCssbGFPmcherry01_102,5,-5,0,82,559.6667,497.33334,82,523.6667,487.33334,82,523.6667,487.33334,82,523.6667,487.33334,82,0,6,0,37.36308338,3.996828275
CDCssbGFPmcherry01_102,5,-5,0,85,560,495.33334,85,525,487.33334,85,525,487.33334,85,525,487.33334,85,0,6,0,35.90264614,3.840601424
CDCssbGFPmcherry01_102,6,-6,1,88,561,490,88,543.3333,497,88,543.3333,497,88,543.3333,497,88,5,0,0,19.00295474,2.032796545
CDCssbGFPmcherry01_102,6,-6,1,91,563,486.66666,91,544.6667,499.66666,91,544.6667,499.66666,91,544.6667,499.66666,91,5,0,0,22.47464992,2.404173
CDCssbGFPmcherry01_102,6,-6,1,94,548,471.66666,94,544.6667,496,94,544.6667,496,94,544.6667,496,94,5,0,0,24.56058477,2.627310992
CDCssbGFPmcherry01_102,6,-6,1,97,540.3333,470.66666,97,547.3333,495,97,544,483,97,547.3333,495,97,5,0,0,25.32017843,2.708566743
CDCssbGFPmcherry01_102,6,-6,1,100,535.6667,471.66666,100,549.3333,493.33334,100,543.6667,484,100,549.3333,493.33334,100,5,0,0,25.61681045,2.740298258
CDCssbGFPmcherry01_102,6,-6,1,103,532,478.33334,103,549,497.66666,103,538.3333,489,103,549,497.66666,103,5,0,0,25.74446081,2.753953357
CDCssbGFPmcherry01_102,6,-6,1,106,531.3333,484.66666,106,551,505,106,551,505,106,551,505,106,5,0,0,28.28822731,3.026066816
CDCssbGFPmcherry01_102,6,-6,1,109,527.3333,487.33334,109,550.3333,505.33334,109,550.3333,505.33334,109,550.3333,505.33334,109,5,0,0,29.20616373,3.124260913
CDCssbGFPmcherry01_102,6,-6,1,112,526,489.33334,112,550.6667,508.66666,112,535.3333,500.33334,112,550.6667,508.66666,112,5,0,0,31.34044274,3.352570408
CDCssbGFPmcherry01_102,6,-6,1,115,525.3333,484.33334,115,552,508,115,552,508,115,552,508,115,5,0,0,35.65422394,3.814027041
CDCssbGFPmcherry01_102,6,-6,1,118,524,483.66666,118,550.3333,507,118,534.3333,492.33334,118,550.3333,507,118,5,0,0,35.18362466,3.763685786
CDCssbGFPmcherry01_102,6,-6,1,121,520.3333,485,121,552.6667,509,121,537.3333,497.33334,121,552.6667,509,121,5,0,0,40.26721688,4.307491149
CDCssbGFPmcherry01_102,6,-6,1,124,525.3333,484.33334,124,554.6667,509.33334,124,538.6667,498.33334,124,554.6667,509.33334,124,5,0,0,38.5415147,4.122888203
