movie,cell_number,object_id,Acc(1)/Alt(0)/NA(3),slice_num,x1,y1,z1,x4,y4,z4,x2,y2,z2,x3,y3,z3,Mother's cell number,Daughter cell Acc,Daughter cell Alt,dist pole to pole
CDCssbGFPmcherry01_030,7,-7,1,187,572.25,607.75,187,546.5,632.25,187,559.75,621.5,187,546.5,632.25,187,6,0,0,35.54310763
CDCssbGFPmcherry01_030,7,-7,1,190,572,606,190,544.5,630.75,190,558.5,622.5,190,544.5,630.75,190,6,0,0,36.99746613
CDCssbGFPmcherry01_030,7,-7,1,193,568.75,600.75,193,544.25,631.25,193,544.25,631.25,193,544.25,631.25,193,6,0,0,39.12160528
CDCssbGFPmcherry01_030,7,-7,1,196,564.75,597.25,196,543.75,630.25,196,543.75,630.25,196,543.75,630.25,196,6,0,0,39.11521443
CDCssbGFPmcherry01_030,7,-7,1,199,563.5,596,199,542.75,630,199,542.75,630,199,542.75,630,199,6,0,0,39.83167709
CDCssbGFPmcherry01_030,7,-7,1,202,563.5,596.5,202,543.25,629.75,202,543.25,629.75,202,543.25,629.75,202,6,0,0,38.93102876
CDCssbGFPmcherry01_030,7,-7,1,205,520.5,603.5,205,538,640.75,205,538,640.75,205,538,640.75,205,6,0,0,41.1559534
CDCssbGFPmcherry01_030_2,1,-1,3,25,509,676.6667,25,498.66666,685.6667,25,498.66666,685.6667,25,498.66666,685.6667,25,0,2,7,13.70320822
CDCssbGFPmcherry01_030_2,1,-1,3,28,511.33334,678.6667,28,496,684,28,496,684,28,496,684,28,0,2,7,16.23438956
CDCssbGFPmcherry01_030_2,1,-1,3,31,502,675.3333,31,487,686,31,493.33334,680.6667,31,487,686,31,0,2,7,18.40593624
CDCssbGFPmcherry01_030_2,1,-1,3,34,505,675.6667,34,488.33334,684.6667,34,488.33334,684.6667,34,488.33334,684.6667,34,0,2,7,18.94142433
CDCssbGFPmcherry01_030_2,1,-1,3,37,475.33334,701.3333,37,493,716.3333,37,485.33334,707.3333,37,493,716.3333,37,0,2,7,23.17565265
CDCssbGFPmcherry01_030_2,1,-1,3,40,476.66666,699,40,493,718,40,493,718,40,493,718,40,0,2,7,25.05549831
CDCssbGFPmcherry01_030_2,1,-1,3,43,505.33334,680,43,482,689,43,482,689,43,482,689,43,0,2,7,25.00889353
CDCssbGFPmcherry01_030_2,1,-1,3,46,500.33334,706.6667,46,527.3333,700.6667,46,509.66666,699.6667,46,527.3333,700.6667,46,0,2,7,27.65859432
CDCssbGFPmcherry01_030_2,1,-1,3,49,504.66666,712.6667,49,526,694,49,526,694,49,526,694,49,0,2,7,28.34708247
CDCssbGFPmcherry01_030_2,1,-1,3,52,503.33334,713,52,523.3333,694,52,523.3333,694,52,523.3333,694,52,0,2,7,27.58619945
CDCssbGFPmcherry01_030_2,1,-1,3,55,502,703,55,532.3333,703.3333,55,532.3333,703.3333,55,532.3333,703.3333,55,0,2,7,30.33513108
CDCssbGFPmcherry01_030_2,1,-1,3,58,501.33334,708,58,530.3333,699,58,530.3333,699,58,530.3333,699,58,0,2,7,30.3644147
CDCssbGFPmcherry01_030_2,2,-2,1,61,520.3333,707.6667,61,509.33334,697.3333,61,509.33334,697.3333,61,509.33334,697.3333,61,1,3,5,15.09232505
CDCssbGFPmcherry01_030_2,2,-2,1,64,524.3333,704,64,507.33334,699.3333,64,507.33334,699.3333,64,507.33334,699.3333,64,1,3,5,17.62886068
CDCssbGFPmcherry01_030_2,2,-2,1,67,524.3333,702.3333,67,507.66666,700,67,507.66666,700,67,507.66666,700,67,1,3,5,16.82917638
CDCssbGFPmcherry01_030_2,2,-2,1,70,525,694.3333,70,509,703,70,509,703,70,509,703,70,1,3,5,18.19647463
CDCssbGFPmcherry01_030_2,2,-2,1,73,521.6667,691.3333,73,507.33334,706,73,507.33334,706,73,507.33334,706,73,1,3,5,20.5074937
CDCssbGFPmcherry01_030_2,2,-2,1,76,522,690.3333,76,507.66666,705.6667,76,507.66666,705.6667,76,507.66666,705.6667,76,1,3,5,20.98946858
CDCssbGFPmcherry01_030_2,2,-2,1,79,524.6667,691.6667,79,508.66666,705.6667,79,508.66666,705.6667,79,508.66666,705.6667,79,1,3,5,21.26032173
CDCssbGFPmcherry01_030_2,2,-2,1,82,494.66666,706.6667,82,500,684.6667,82,500,684.6667,82,500,684.6667,82,1,3,5,22.63723737
CDCssbGFPmcherry01_030_2,2,-2,1,85,516.3333,678,85,509.66666,700.3333,85,509.66666,700.3333,85,509.66666,700.3333,85,1,3,5,23.30708857
CDCssbGFPmcherry01_030_2,2,-2,1,88,524.3333,694.6667,88,502,703,88,502,703,88,502,703,88,1,3,5,23.83736936
CDCssbGFPmcherry01_030_2,2,-2,1,91,523.3333,693.3333,91,497.66666,693.3333,91,497.66666,693.3333,91,497.66666,693.3333,91,1,3,5,25.66664
CDCssbGFPmcherry01_030_2,2,-2,1,94,530.3333,675.3333,94,505.66666,690.6667,94,505.66666,690.6667,94,505.66666,690.6667,94,1,3,5,29.04404043
CDCssbGFPmcherry01_030_2,2,-2,1,97,530.3333,675,97,505,690.6667,97,505,690.6667,97,505,690.6667,97,1,3,5,29.78626492
CDCssbGFPmcherry01_030_2,2,-2,1,100,533,672.6667,100,504.33334,685.3333,100,504.33334,685.3333,100,504.33334,685.3333,100,1,3,5,31.34039169
